No,Style,Type,Best For,Do Not Use For,Keywords,Effects,Implementation Checklist,Design System Variables
1,Minimalism & Swiss Style,General,"Enterprise apps, dashboards, docs","Creative portfolios, entertainment","Clean, simple, spacious, white space, high contrast, geometric","Subtle hover 200-250ms, sharp shadows, clear type hierarchy","Grid-based layout 12-16 columns, Typography hierarchy clear, No decorations, WCAG AAA contrast","--spacing: 2rem, --border-radius: 0px, --shadow: none, --accent: single primary"
2,Neumorphism,General,"Health/wellness, meditation, fitness","Complex apps, critical accessibility","Soft UI, embossed, debossed, rounded 12-16px, monochromatic","Soft box-shadow multiple layers, smooth press 150ms","Rounded corners 12-16px, Multiple shadow layers, Pastel colors, Press animation 150ms","--border-radius: 14px, --shadow-soft: -5px -5px 15px, 5px 5px 15px"
3,Glassmorphism,General,"Modern SaaS, financial dashboards, overlays","Low-contrast backgrounds, critical accessibility","Frosted glass, transparent, blurred background, layered","Backdrop blur 10-20px, subtle border, light reflection","Backdrop-filter blur, Translucent white 15-30%, Border 1px light, Text contrast 4.5:1","--blur: 15px, --glass-opacity: 0.15, --border: rgba(255,255,255,0.2)"
4,Brutalism,General,"Design portfolios, artistic, counter-culture","Corporate, conservative industries","Raw, unpolished, stark, high contrast, visible borders","No transitions instant, sharp corners, bold typography 700+","No border-radius 0px, No transitions, Bold typography 700+, Pure primary colors","--border-radius: 0px, --transition: 0s, --font-weight: 700-900"
5,3D & Hyperrealism,General,"Gaming, product showcase, immersive","Low-end mobile, performance-limited","Depth, realistic textures, 3D models, spatial","WebGL Three.js, realistic shadows, physics lighting, parallax 3-5 layers","WebGL/Three.js, Parallax 3-5 layers, Realistic lighting, Physics animation 300-400ms","--perspective: 1000px, --parallax-layers: 5, --animation: 300-400ms"
6,Vibrant & Block-based,General,"Startups, creative agencies, gaming","Financial, healthcare, conservative","Bold, energetic, playful, block layout, geometric, duotone","Large sections 48px+ gaps, animated patterns, scroll-snap","Block layout 48px+ gaps, Typography 32px+, 4-6 vibrant colors, Animated patterns","--block-gap: 48px, --typography: 32px+, --contrast: 7:1+"
7,Dark Mode OLED,General,"Night-mode, coding, entertainment","Print-first, outdoor brightness","Dark theme, deep black, midnight blue, OLED","Minimal glow, dark-to-light transitions, high readability","Deep black #000 or #121212, Vibrant neon accents, Text contrast 7:1+, OLED optimized","--bg: #000000, --text: #FFFFFF, --accent: neon colors"
8,Accessible & Ethical,General,"Government, healthcare, education","None - universal","High contrast 7:1+, large text 16px+, WCAG AAA","Clear focus rings 3-4px, ARIA labels, skip links","WCAG AAA verified, 7:1+ contrast, Keyboard nav, Screen reader tested, Touch 44x44px","--contrast: 7:1, --font-min: 16px, --focus-ring: 3-4px, --wcag: AAA"
9,Claymorphism,General,"Educational, children's apps, SaaS","Formal corporate, data-critical","Soft 3D, chunky, playful, bubbly, rounded 16-24px, thick borders","Inner+outer shadows, soft press 200ms, fluffy elements","Border-radius 16-24px, Thick borders 3-4px, Double shadows, Pastel colors","--border-radius: 20px, --border-width: 3-4px, --shadow: inner+outer"
10,Aurora UI,General,"Modern SaaS, creative agencies, music","Data-heavy dashboards, critical a11y","Vibrant gradients, Northern Lights, mesh gradient, luminous","Large flowing CSS/SVG gradients, subtle 8-12s animations","Mesh/flowing gradients, 8-12s animation loop, Complementary colors, Iridescent effect","--gradient: complementary pairs, --animation: 8-12s, --blend: screen"
11,Retro-Futurism,General,"Gaming, entertainment, music","Conservative, professional, elderly","80s aesthetic, neon glow, CRT scanlines, cyberpunk, synthwave","CRT scanlines, neon glow text-shadow+box-shadow, glitch effects","Neon colors, CRT scanlines, Glitch animations, Monospace font, Deep black bg","--neon: #0080FF #FF006E #00FFFF, --bg: #000, --font: monospace"
12,Flat Design,General,"Web apps, mobile apps, MVPs","Complex 3D, premium luxury","2D, bold colors, no shadows, clean lines, simple shapes","No gradients/shadows, simple hover color/opacity shift, 150-200ms","No shadows/gradients, 4-6 solid colors, Clean lines, Simple shapes, Fast loading","--shadow: none, --colors: 4-6 solid, --border-radius: 2px"
13,Skeuomorphism,General,"Legacy apps, gaming, premium products","Modern enterprise, low-performance","Realistic, texture, depth, 3D, real-world metaphors","Realistic shadows layers, depth perspective, texture details, 300-500ms","Realistic textures, Complex gradients 8-12 stops, Multi-layer shadows, Tactile animations","--gradient: 8-12 stops, --texture: noise+grain, --animation: 300-500ms"
14,Liquid Glass,General,"Premium SaaS, high-end e-commerce","Performance-limited, critical a11y","Flowing glass, morphing, fluid effects, iridescent, chromatic aberration","Morphing SVG/CSS, fluid animations 400-600ms, dynamic blur","Morphing 400-600ms, Chromatic aberration, Dynamic blur, Iridescent gradients","--morph: 400-600ms, --blur: 15px, --chromatic: true"
15,Motion-Driven,General,"Portfolio sites, storytelling","Data dashboards, motion-sensitive","Animation-heavy, microinteractions, scroll effects, parallax","Scroll anim Intersection Observer, hover 300-400ms, parallax 3-5 layers","Scroll animations, Parallax 3-5 layers, Entrance animations, GPU accelerated","--animation: 300-400ms, --parallax: 5, --gpu: true"
16,Micro-interactions,General,"Mobile apps, touchscreen UIs, productivity","Desktop-only, a11y-first","Small animations, gesture-based, tactile feedback","Small hover 50-100ms, loading spinners, success/error states","Micro-animations 50-100ms, Gesture-responsive, Loading spinners, State feedback","--micro-duration: 50-100ms, --gesture: true, --haptic: enabled"
17,Inclusive Design,General,"Public services, education, healthcare","None - universal","Accessible, color-blind friendly, high contrast, WCAG AAA","Haptic feedback, voice guidance, focus indicators 4px+","WCAG AAA, 7:1+ contrast, Keyboard accessible, Screen reader tested","--contrast: 7:1, --font: 16px+, --focus: 3-4px, --wcag: AAA"
18,Zero Interface,General,"Voice assistants, AI platforms","Complex workflows, data-entry","Minimal visible UI, voice-first, gesture-based, AI-driven","Voice recognition UI, gesture detection, AI predictions","Voice commands, Gesture detection, AI predictions, Progressive disclosure, Minimal UI","--voice: enabled, --gesture: active, --ai: smart, --ui: minimal"
19,Soft UI Evolution,General,"Modern enterprise, SaaS, health/wellness","Extreme minimalism","Evolved soft UI, better contrast, modern, accessible","Improved softer shadows, modern 200-300ms, focus visible","Improved contrast AA/AAA, Soft shadows modern, Border-radius 8-12px, Focus states","--shadow: modern, --border-radius: 10px, --animation: 200-300ms, --wcag: AA+"
20,Neubrutalism,General,"Gen Z brands, startups, Figma-style","Corporate, conservative","Raw bold, thick borders, stark colors, intentionally rough","Instant transitions, bold borders, high contrast","Thick borders 3-4px, Stark colors, No border-radius or 0px, Bold typography","--border: 3-4px, --radius: 0px, --weight: 700+"
21,Bento Box Grid,General,"Dashboards, product pages, portfolios","Linear content, storytelling","Grid sections, asymmetric cards, modular content","Card hover lift, section reveal on scroll","CSS Grid asymmetric, Card hover effects, Modular sections, Responsive grid","--grid: asymmetric, --card-radius: 16px, --gap: 16px"
22,Y2K Aesthetic,General,"Fashion, music, Gen Z","Conservative industries","2000s nostalgia, metallic, bubbly, iridescent","Glitter effects, metallic gradients, bubbly shapes","Metallic gradients, Bubbly shapes, Iridescent effects, Retro fonts","--gradient: metallic, --shapes: bubbly"
23,Cyberpunk UI,General,"Gaming, tech products, crypto","Conservative, professional","Neon on dark, glitch, scanlines, futuristic","Neon glow, glitch animations, CRT effects","Neon colors on dark, Glitch animations, Scanlines, Monospace elements","--neon: multiple, --bg: dark, --effect: glitch"
24,Organic Biophilic,General,"Wellness, sustainability brands","Industrial, corporate","Nature-inspired, organic shapes, earth tones, natural","Gentle animations, organic morphing, nature transitions","Organic shapes, Earth tones, Natural textures, Gentle animations","--shapes: organic, --colors: earth, --animation: gentle"
25,AI-Native UI,General,"AI products, chatbots, copilots","Traditional apps","AI-driven, adaptive, predictive, context-aware","Smart reveals, adaptive layout, predictive suggestions","AI predictions, Adaptive layout, Context-aware elements, Smart transitions","--ai: enabled, --adaptive: true, --context: aware"
26,Memphis Design,General,"Creative agencies, music, youth","Corporate, formal","Bold geometric, clashing patterns, playful, 80s","Animated patterns, bold hovers, geometric movement","Bold geometric shapes, Clashing patterns, Playful colors, Animated elements","--shapes: geometric, --patterns: bold"
27,Vaporwave,General,"Music platforms, gaming, portfolios","Corporate, professional","Retro 80s/90s, pastel neon, grid perspective, surreal","Gradient animations, perspective grid, floating elements","Pastel neon colors, Perspective grid, Surreal elements, Gradient animations","--neon: pastel, --grid: perspective"
28,Dimensional Layering,General,"Dashboards, card layouts, modals","Flat minimal designs","Layered cards, depth, shadows, z-axis","Layer transitions, depth changes on hover","Multiple shadow layers, Z-axis depth, Card layering, Hover depth changes","--shadow: multi-layer, --depth: z-axis"
29,Exaggerated Minimalism,General,"Fashion, architecture, portfolios","Data-heavy, content-rich","Extreme whitespace, oversized type, minimal elements","Subtle reveals, oversized typography animation","Extreme whitespace, Oversized typography, Minimal elements, Subtle animations","--whitespace: extreme, --type: oversized"
30,Kinetic Typography,General,"Hero sections, marketing sites","Data dashboards, content-heavy","Moving text, animated headlines, text as art","Text animations, letter stagger, word reveals","Text splitting, Letter stagger, Word reveals, Scroll-triggered text","--text-anim: split, --stagger: 50ms"
31,Parallax Storytelling,General,"Brand storytelling, product launches","Data dashboards, simple content","Multi-layer parallax, scroll-driven narrative","Parallax 3-5 layers, scroll-triggered reveals","Multi-layer parallax, Scroll-triggered reveals, Spatial transitions","--parallax: 3-5, --scroll: triggered"
32,Swiss Modernism 2.0,General,"Corporate, architecture, editorial","Playful, entertainment","Grid-based, clean typography, structured, professional","Subtle grid animations, clean transitions","Grid-based layout, Clean typography, Structured hierarchy, Minimal decoration","--grid: 12-col, --type: clean"
33,HUD / Sci-Fi FUI,General,"Sci-fi games, space tech, cybersecurity","Conservative, consumer","Heads-up display, data overlays, futuristic panels","Data reveal animations, HUD element transitions","HUD elements, Data overlays, Futuristic panels, Glowing accents","--hud: true, --glow: accent"
34,Pixel Art,General,"Indie games, retro tools, creative","Professional, corporate","8-bit aesthetic, pixelated, retro gaming","Pixel transitions, retro animations","Pixel fonts, 8-bit icons, Retro color palette, Pixel-perfect grid","--font: pixel, --grid: pixel-perfect"
35,Bento Grids,General,"Product features, dashboards, personal","Linear content","Modular grid, asymmetric cards, feature blocks","Card hover effects, grid reveal animations","Modular grid, Asymmetric cards, Feature blocks, Hover effects","--grid: modular, --card: asymmetric"
36,Spatial UI VisionOS,General,"Spatial computing, VR/AR","Traditional 2D web","3D space, depth layers, glass panels, spatial interaction","3D transitions, spatial hover effects","3D depth layers, Glass panels, Spatial interactions, Depth shadows","--depth: 3d, --glass: spatial"
37,E-Ink / Paper,General,"Reading apps, digital newspapers","Gaming, entertainment","Paper-like, minimal contrast, reading-focused","Page turn animations, subtle paper texture","Paper texture, Minimal contrast, Reading-focused typography, Page transitions","--texture: paper, --contrast: gentle"
38,Gen Z Chaos / Maximalism,General,"Gen Z lifestyle, music artists","Corporate, conservative","Clashing elements, intentional chaos, bold maximalism","Chaotic animations, overlapping elements","Clashing elements, Bold maximalism, Overlapping layers, Intentional chaos","--chaos: intentional, --overlap: true"
39,Biomimetic / Organic 2.0,General,"Sustainability tech, biotech, health","Industrial, corporate","Nature-mimicking, organic forms, bioluminescent","Organic morphing, bioluminescent glow","Organic forms, Bioluminescent effects, Nature-inspired shapes","--organic: true, --glow: bioluminescent"
40,Anti-Polish / Raw Aesthetic,General,"Creative portfolios, artist sites","Corporate, professional","Intentionally rough, unfinished, raw, anti-design","Raw transitions, minimal polish","Raw typography, Intentional roughness, Minimal polish, Anti-design elements","--polish: raw, --finish: rough"
41,Tactile Digital / Deformable UI,General,"Modern mobile apps, playful brands","Static content, data-heavy","Touchable, deformable, rubber-like, interactive physics","Physics-based deformation, rubber band effects","Physics interactions, Deformable elements, Rubber-band effects","--physics: true, --deform: interactive"
42,Nature Distilled,General,"Wellness brands, sustainable products","Industrial, tech","Simplified nature elements, earth tones, organic minimalism","Gentle nature transitions, organic reveals","Simplified nature elements, Earth tones, Organic minimalism","--nature: simplified, --earth: tones"
43,Interactive Cursor Design,General,"Creative portfolios, interactive","Mobile-first, data-heavy","Custom cursor, cursor-following effects, interactive pointer","Cursor animations, following effects","Custom cursor, Cursor-following effects, Interactive pointer states","--cursor: custom, --follow: effects"
44,Voice-First Multimodal,General,"Voice assistants, accessibility","Data-entry heavy","Voice-first with visual fallback, multimodal interaction","Voice feedback animations, listening indicators","Voice UI, Visual fallback, Listening indicators, Multimodal interaction","--voice: primary, --visual: fallback"
45,3D Product Preview,General,"E-commerce, furniture, fashion","Content-heavy, text-focused","3D product models, rotate/zoom, interactive preview","3D rotation, zoom transitions","3D models, Rotate/zoom interaction, Product spotlight","--3d: product, --interaction: rotate+zoom"
46,Gradient Mesh / Aurora Evolved,General,"Hero sections, backgrounds","Data dashboards, content-heavy","Complex mesh gradients, aurora effects, flowing colors","Gradient animation, color flow","Mesh gradients, Aurora effects, Flowing color transitions","--gradient: mesh, --flow: aurora"
47,Editorial Grid / Magazine,General,"News sites, blogs, magazines","Simple apps, tools","Magazine layout, editorial grid, content hierarchy","Section reveals, content transitions","Magazine layout, Editorial grid, Content hierarchy, Section reveals","--grid: editorial, --hierarchy: content"
48,Chromatic Aberration / RGB Split,General,"Music platforms, gaming","Corporate, professional","RGB split, chromatic aberration, glitch color","RGB split animation, glitch effects","RGB split effects, Chromatic aberration, Glitch color transitions","--rgb: split, --chromatic: true"
49,Vintage Analog / Retro Film,General,"Photography, music/vinyl","Modern tech, SaaS","Film grain, vintage colors, analog texture, retro","Film grain overlay, vintage color shifts","Film grain overlay, Vintage color palette, Analog textures","--grain: film, --vintage: true"
50,Hero-Centric Design,Landing,"Products with strong visual identity","Complex multi-product","Large hero, compelling headline, high-contrast CTA","Smooth scroll reveal, fade-in, CTA glow","Hero full viewport, Headline above fold, CTA high contrast, Image optimized","--hero: 100vh, --headline: clamp(2rem,5vw,4rem)"
51,Conversion-Optimized,Landing,"Lead gen, sales pages","Feature explanations","Form-focused, single CTA, urgency, trust signals","Form field focus, loading spinner, success feedback","Single CTA, Form minimal 3-5 fields, Trust badges, Social proof above fold","--cta: high-contrast, --form: 600px max"
52,Feature-Rich Showcase,Landing,"SaaS, complex products","Simple products","Multiple features, grid layout, benefit cards","Card hover lift, icon scroll anim, feature toggle","Feature grid responsive, Icons consistent, Card hover smooth, Alternating sections","--card: 2rem padding, --grid: auto-fit"
53,Minimal & Direct,Landing,"Simple products, consulting","Feature-heavy","Minimal text, whitespace, single column, direct","Very subtle hover, minimal animations, fast load","Single column centered, White space generous, One CTA, No decorations","--width: 680px, --spacing: 4rem"
54,Social Proof-Focused,Landing,"Services, B2C products","Startup MVPs","Testimonials prominent, client logos, case studies","Testimonial carousel, logo fade-in, stat counter","Testimonials with photos, Logo grid 6-12, Star ratings accessible, Metrics animated","--avatar: 64px, --logo: 40px"
55,Interactive Product Demo,Landing,"Software, tools","Simple services","Embedded demo, interactive walkthrough, hover-to-reveal","Demo playback, step progression, hover reveal","Demo video fast, Fallback no-JS, Step indicators, Hover states obvious","--video: 16/9, --play: 80px"
56,Trust & Authority,Landing,"B2B, enterprise, consulting","Casual products","Certifications, expert credentials, security badges","Badge hover, metric pulse, certificate carousel","Security badges, Certifications verified, Metrics with sources, Professional imagery","--badge: 48px, --trust: #1E40AF"
57,Storytelling-Driven,Landing,"Brands, agencies, nonprofits","Technical products","Narrative flow, scroll-triggered reveals, chapter structure","Section reveals, character animations, morphing transitions","Story flows naturally, Scroll reveals smooth, Emotional hooks, Mobile readable","--section: 100vh, --reveal: 600ms"
58,Data-Dense Dashboard,BI/Analytics,"Business intelligence, financial analytics","Consumer-facing","Multiple widgets, KPI cards, data tables, dense","Hover tooltips, chart zoom, row highlight, filter anim","Grid 12 columns, KPI cards responsive, Tables sortable, Filters functional","--gap: 8px, --card-pad: 12px, --row: 36px"
59,Heat Map Style,BI/Analytics,"Geographic, behavior data, correlation","Linear data","Color-coded grid, intensity visualization, gradient","Color gradient transitions, cell highlight, tooltip","Color scale clear, Legend visible, Tooltips, Colorblind alternatives","--cool: #0080FF, --hot: #FF0000"
60,Executive Dashboard,BI/Analytics,"C-suite summaries, strategic planning","Detailed analysis","Large KPIs, minimal detail, trend indicators, at-a-glance","KPI count-up, trend arrow anim, metric card hover","KPIs 4-6 max, Trends visible, Status colors clear, One-page view","--kpi: 48px, --green: #22C55E, --red: #EF4444"
61,Real-Time Monitoring,BI/Analytics,"DevOps, system monitoring, live analytics","Historical analysis","Live data, status indicators, alerts, streaming charts","Real-time chart, alert pulse, status blink, data stream","Live updates, Alert sounds optional, Connection status, Critical alerts prominent","--pulse: 2s infinite, --live: #22C55E"
62,Drill-Down Analytics,BI/Analytics,"Sales, product, funnel analysis","Simple linear data","Hierarchical exploration, expandable, summary-to-detail","Drill expand anim, breadcrumb click, detail reveal","Breadcrumbs clear, Back navigation easy, Expand smooth, Context preserved","--expand: 300ms, --indent: 24px"
63,Comparative Analysis,BI/Analytics,"A/B tests, period-over-period, benchmarks","Single metrics","Side-by-side, delta indicators, period comparison","Comparison bar grow, delta arrow anim, highlight","Period selector, Deltas calculated, Colors meaningful, Benchmarks shown","--positive: #22C55E, --negative: #EF4444"
64,Predictive Analytics,BI/Analytics,"Forecasting, ML insights, anomaly detection","Historical only","Forecast lines, confidence intervals, trend projections","Forecast line draw, confidence band fade, anomaly pulse","Forecast line distinct, Confidence bands, Anomalies highlighted, Scenarios switchable","--forecast: dashed, --confidence: 0.2 opacity"
65,User Behavior Analytics,BI/Analytics,"UX research, product analytics","Financial data","User flows, session recordings, behavior heatmaps","Flow animations, heatmap transitions","User flow visualization, Session data, Behavior patterns","--flow: animated, --heatmap: behavior"
66,Financial Dashboard,BI/Analytics,"Finance, accounting, trading","Simple reporting","Balance sheets, P&L, transaction tables, real-time prices","Number animations, chart transitions, price updates","Financial charts, Transaction tables, Real-time prices, Export ready","--finance: professional, --numbers: tabular"
67,Sales Intelligence,BI/Analytics,"Sales teams, CRM, pipeline","Non-sales data","Pipeline view, deal stages, rep performance, forecasts","Pipeline drag, deal animation, quota progress","Pipeline visualization, Deal stages, Rep metrics, Forecast charts","--pipeline: drag, --forecast: animated"
